Приоритет,Кампания,Тип_совпадения,Ключевой_запрос,URL_лендинг,Группа_объявлений,Заголовок_1,Заголовок_2,Текст_объявления,Минус-слова_группы,Комментарий
Золото,Поиск,Фразовое,счет за границей для физлица,https://ccapital.pro/bank-account.html,Зарубежный счёт,Счёт за границей,Под ключ,Банк-папка Source of Funds и выбор юрисдикции под ваш кейс.,бесплатно вакансии курс обучение форум депозит вклад,
Золото,Поиск,Фразовое,source of funds,https://ccapital.pro/source-of-funds.html,Source of Funds,Source of Funds,Под ключ для банка,Досье происхождения средств и благосостояния под комплаенс. Charter Capital.,бесплатно вакансии курс реферат скачать,Уже ищут наш язык
Золото,Поиск,Фразовое,source of wealth,https://ccapital.pro/source-of-funds.html,Source of Funds,Source of Wealth,Документы для банка,Закрываем разрывы в биографии капитала: крипта бизнес наличные.,бесплатно вакансии курс реферат скачать,
Золото,Поиск,Фразовое,как доказать происхождение денег банку,https://ccapital.pro/source-of-funds.html,Source of Funds,Доказать происхождение денег?,Source of Funds,Собираем историю капитала которую примет западный банк и суд.,бесплатно вакансии курс реферат форум,Живой язык vs канцелярит
Золото,Поиск,Фразовое,подтверждение происхождения средств банк,https://ccapital.pro/source-of-funds.html,Source of Funds,Происхождение средств,Для банка и сделки,Досье под KYC/EDD. Не шаблон — архитектура под ваш кейс.,бесплатно вакансии курс реферат форум,Низкий спрос но высокий intent
Золото,Поиск,Фразовое,aml криптовалюта,https://ccapital.pro/aml-crypto.html,AML и крипта,AML для крипты,Чистый вход в банк,On-chain история чистый USDC легальный off-ramp. Без P2P и миксеров.,бесплатно вакансии курс обучение форекс,Горячий сегмент
Золото,Поиск,Фразовое,легализация крипты,https://ccapital.pro/aml-crypto.html,AML и крипта,Легализация крипты,AML-пакет,Криптоактивы с доказуемой историей для банка и контрагента.,бесплатно вакансии курс обучение форекс,
Золото,Поиск,Фразовое,криптовалюта банк не принимает,https://ccapital.pro/aml-crypto.html,AML и крипта,Банк не принимает крипту?,AML-досье,Легальный путь к фиату и счёту. Географический след и комплаенс.,бесплатно вакансии курс обучение форекс,
Золото,Поиск,Фразовое,оплата поставщику за рубеж,https://ccapital.pro/pay.html,ВЭД-платежи,Платёж поставщику за рубеж,Чистый USDC,ВЭД-расчёты под банк получателя: Китай ОАЭ ЕС. Charter Capital Pay.,бесплатно вакансии курс обучение, B2B операционный
Золото,Поиск,Фразовое,платежи вэд,https://ccapital.pro/pay.html,ВЭД-платежи,Платежи ВЭД,USDC под комплаенс,Расчёты по контрактам без блокировок SWIFT. Документы под банк.,бесплатно вакансии курс обучение,
Золото,Поиск,Фразовое,usdc платежи,https://ccapital.pro/pay.html,ВЭД-платежи,Расчёты в USDC,ВЭД под ключ,Чистый USDC с закрывающими документами для банка и контрагента.,бесплатно вакансии курс обучение,
Золото,Поиск,Фразовое,готовый бизнес в европе,https://ccapital.pro/business-eu.html,Бизнес EU,Готовый бизнес в Европе,Substance и капитал,Действующий бизнес с выручкой — понятный банку вход капитала из СНГ.,бесплатно вакансии курс франшиза,Substance
Золото,Поиск,Фразовое,купить бизнес в европе,https://ccapital.pro/business-eu.html,Бизнес EU,Купить бизнес в ЕС,Реальная выручка,Эскроу Source of Funds сопровождение сделки. Charter Capital.,бесплатно вакансии курс франшиза,
Серебро,Поиск,Фразовое,private office,https://ccapital.pro/private.html,Private Office,Private Office,Капитал от $1M,Архитектура легитимности и репатриация под ключ. Charter Capital.,бесплатно вакансии курс,Флагман — узкий спрос
Серебро,Поиск,Фразовое,архитектура легитимности,https://ccapital.pro/qualified-clients.html,Квал клиенты,Архитектура легитимности,Капитал из СНГ,Деньги без биографии — риск для банка. Строим доказуемую историю.,бесплатно вакансии курс,Брендовый + видео-лендинг
Серебро,Поиск,Фразовое,управление крупным капиталом,https://ccapital.pro/private.html,Private Office,Крупный капитал,Спокойствие и защита,Не прячем — делаем легитимным. Private Office Charter Capital.,бесплатно вакансии курс,
Контент,SEO,,банки гонконга не принимают платежи из оаэ,https://ccapital.pro/journal/hongkong-banks-uae-transit-compliance-2026.html,Журнал,,,Уже 2 клика в Вебмастере — не лить в Поиск пока, только органика+ретаргет,,Живой сигнал
Контент,SEO,,географический след крипта,https://ccapital.pro/journal/geographic-footprint-clean-capital.html,Журнал,,,Статья под длинный хвост,,Наш язык
Контент,SEO,,легализация крипты рф 2026,https://ccapital.pro/journal/legalizaciya-kripty-rf-2026.html,Журнал,,,Трендовый материал,,,
Контент,SEO,,валютный контроль 2026,https://ccapital.pro/journal/valyutnyy-kontrol-2026-gayd.html,Журнал,,,Широкий информационный вход,,,
Контент,SEO,,family office сингапур,https://ccapital.pro/journal/singapore-family-office.html,Журнал,,,Premium аналитика,,,
РСЯ,РСЯ,,,https://ccapital.pro/qualified-clients.html,Видео флагман,,,Ролик 15с. Гео: Москва СПб премиум-районы. Интересы: инвестиции бизнес за рубежом релокация. Ретаргет: все посетители сайта.,,Не по ключам — по аудитории
РСЯ,РСЯ,,,https://ccapital.pro/qualified-clients.html,Видео догон,,,Ролик №2 вилла/суд. Только ретаргет + lookalike с сайта/TG.,,Догон после первого касания
РСЯ,РСЯ,,,https://ccapital.pro/private.html,Видео Private,,,Для lookalike и посетителей qualified-clients. От $1M.,,Нижний funnel
Не_лить,Стоп,,заморозка активов за рубежом,,,,,Спрос 6 новостной rbc.ru — не коммерческий,,Wordcraft: низкий intent
Не_лить,Стоп,,подтверждение происхождения денежных средств,,,,,Спрос 3 канцелярит — ищут юристы,,Wordcraft: низкий intent
Не_лить,Стоп,,внж оаэ,,,,,Массовый рынок мы не продаём статус,,Конкуренция с агентствами ВНЖ
Не_лить,Стоп,,golden visa,,,,,Не наш продукт,,,
Минус_общие,Поиск,,,,,,"Общие минус-слова на кампанию: бесплатно вакансии работа курс обучение реферат скачать форум отзывы мошенники обман форекс брокер кредит ипотека вклад депозит госуслуги wikipedia википедия",,,Добавить на уровне кампании
